"lang"
{
	"Language"	"schinese"
		"DOTA_Tooltip_ability_ability_thdots_shikieiki03_damage_on_max_accusation"	"每层罪名基础伤害:"
		"DOTA_Tooltip_ability_ability_thdots_shikieiki04"	"审判「Last Judgement」"
		"DOTA_Tooltip_ability_ability_thdots_shikieiki04_Description"	"目标少女无法使用主动技能和所有物品，在持续时间内每秒对其造成纯粹伤害。如果目标少女在四季映姬的周边600码范围内，审判的时间不会减少。"
		"DOTA_Tooltip_ability_ability_thdots_shikieiki04_debuff_duration"	"审判持续时间:"
		"DOTA_Tooltip_ability_ability_thdots_shikieiki04_debuff_damage_per_sec"	"每秒伤害:"
		"DOTA_Tooltip_ability_ability_thdots_shikieiki04_radius_keep_duration"	"审判范围:"
		// --------------------
		// reisen
		// --------------------
		"DOTA_Tooltip_ability_ability_thdots_reisenEx"	"幻兔「并行交差」"
		"DOTA_Tooltip_ability_ability_thdots_reisenEx_Description"	"铃仙的子弹或激光击中对方时，会产生一个幻象对目标进行攻击。幻象一共有5发子弹，每发子弹造成40点伤害。"
		"DOTA_Tooltip_ability_ability_thdots_reisen01"	"幻弾「幻想视差」"
		"DOTA_Tooltip_ability_ability_thdots_reisen01_Description"	"铃仙射出一发子弹并快速的向后退，当子弹击中目标时，后退停止。"
		"DOTA_Tooltip_ability_ability_thdots_reisen02"	"短视「超短脳波」"
		"DOTA_Tooltip_ability_ability_thdots_reisen02_Description"	"铃仙将狂气蓄积在手中，使自己的子弹和激光在击中目标时造成范围伤害和眩晕。"
		"DOTA_Tooltip_ability_ability_thdots_reisen02_stun_duration"	"眩晕时间："
		"DOTA_Tooltip_ability_ability_thdots_reisen02_ability_duration"	"持续时间："
		"DOTA_Tooltip_ability_ability_thdots_reisen02_radius"	"伤害范围："
		"DOTA_Tooltip_ability_ability_thdots_reisen03"	"赤眼「望见满月」"
		"DOTA_Tooltip_ability_ability_thdots_reisen03_Description"	"铃仙从眼中放出激光对前方进行扫射，对被扫射到的敌人造成伤害。"
		"DOTA_Tooltip_ability_ability_thdots_reisen04"	"「幻胧月睨」"
		"DOTA_Tooltip_ability_ability_thdots_reisen04_Description"	"铃仙放出五发子弹，对被子弹击中的敌人造成伤害。"
		// --------------------
		// reisenold
		// --------------------
		"DOTA_Tooltip_ability_ability_thdots_reisenOldex"	"弱心「丧心丧意」"
		"DOTA_Tooltip_ability_ability_thdots_reisenOldex_Description"	"铃仙的攻击有20%%的概率发射带有破坏精神的弹丸，造成0.5倍敏捷的伤害并降低敌人的命中和移动速度，持续2.0秒。\n对建筑伤害为30%%"
		"DOTA_Tooltip_ability_ability_thdots_reisenOldex_move_slow"	"降低移速："
		"DOTA_Tooltip_ability_ability_thdots_reisenOldex_miss_change"	"降低命中："
		"DOTA_Tooltip_ability_ability_thdots_reisenOldex_Lore"	"铃仙让敌人承受狂气的视线，令敌人暂时陷入混乱状态"

		"DOTA_Tooltip_ability_ability_thdots_reisenOld01"	"狂符「幻视调律」"
		"DOTA_Tooltip_ability_ability_thdots_reisenOld01_Description"	"被动增加铃仙的攻击距离。"
		"DOTA_Tooltip_ability_ability_thdots_reisenOld01_bonus_attack_range"	"攻击距离增加："
		"DOTA_Tooltip_ability_ability_thdots_reisenOld02"	"幻兔「并行交叉」"
		"DOTA_Tooltip_ability_ability_thdots_reisenOld02_Description"	"铃仙的攻击中有10%%概率制造分身。分身也有1.5%%概率制造分身。分身受到百分之%illusion_damage_in_pct%伤害，持续10秒。主动使用立即制造两个分身。最多制造9个分身。"
		"DOTA_Tooltip_ability_ability_thdots_reisenOld02_tooltip_illusion_damage"	"%分身继承攻击："
		"DOTA_Tooltip_ability_ability_thdots_reisenOld02_Lore"	"铃仙展开令敌人认识狂乱的波长。敌人将会看到本身不应该出现的东西。拥有将虚像的射击化作实弹的效果"
		"DOTA_Tooltip_ability_ability_thdots_reisenOld03"	"散符「胧月花栞」"
		"DOTA_Tooltip_ability_ability_thdots_reisenOld03_Description"	"蓄力1.0秒后射出威力巨大的一击，对直线上的单位造成物理伤害并触发「丧心丧意」。\n蓄力时间决定最终伤害，如果完全蓄力，则使得被击中的单位在5秒内被铃仙和其幻象攻击时必定触发「丧心丧意」。\n万宝槌效果：使胧月花栞伤害类型转为魔法，并使目标击退200码，蓄力满额后额外造成80%%伤害，冷却时间-9s"
		"DOTA_Tooltip_ability_ability_thdots_reisenOld03_max_lenth"	"最远距离："
		"DOTA_Tooltip_ability_ability_thdots_reisenOld04"	"「幻胧月睨」"
		"DOTA_Tooltip_ability_ability_thdots_reisenOld04_Description"	"主动：铃仙迅速进入隐身，获得相位移动状态，并在一定时间内本体增加攻速，拥有100%%概率制造分身和触发「丧心丧意」。（攻击显影）\n被动：增加「丧心丧意」触发几率。"
		"DOTA_Tooltip_ability_ability_thdots_reisenOld04_duration"	"持续时间："
		"DOTA_Tooltip_ability_ability_thdots_reisenOld04_chance"	"%增加几率："
		"DOTA_Tooltip_ability_ability_thdots_reisenOld04_attack_speed"	"增加攻速："
		"DOTA_Tooltip_ability_ability_thdots_reisenOld04_Lore"	"铃仙广范围释放令敌人陷入疯狂的波长漩涡,威力极其优秀。"
		// --------------------
		// sanae
		// --------------------
		"DOTA_Tooltip_ability_ability_thdots_sanae01"	"奇迹「八坂的神风」"
		"DOTA_Tooltip_ability_ability_thdots_sanae01_Description"	"在目标刮起一阵旋风，在旋风内的敌人会被绊住并受到伤害。\n施法距离：350/450/550/650\n万宝槌效果：对少女伤害增加50%%。"
		"DOTA_Tooltip_ability_ability_thdots_sanae01_damage_radius"	"伤害范围："
		"DOTA_Tooltip_ability_ability_thdots_sanae01_move_slow"	"减速百分比："
		"DOTA_Tooltip_ability_ability_thdots_sanae01_duration"	"持续时间："
		"DOTA_Tooltip_ability_ability_thdots_sanae01_Lore"	"以早苗附近为中心形成巨大旋风的符卡。"
		"DOTA_Tooltip_ability_ability_thdots_sanae02"	"开海「切开大海之日」"
		"DOTA_Tooltip_ability_ability_thdots_sanae02_Description"	"召唤切开大海的摩西奇迹，对敌人造成范围伤害并晕眩。\n施法距离：700\n万宝槌效果：对少女伤害增加50%%。"
		"DOTA_Tooltip_ability_ability_thdots_sanae02_damage_radius"	"伤害范围："
		"DOTA_Tooltip_ability_ability_thdots_sanae02_stun_duration"	"眩晕时间："
		"DOTA_Tooltip_ability_ability_thdots_sanae03"	"奇迹「新星辉煌之夜」"
		"DOTA_Tooltip_ability_ability_thdots_sanae03_Description"	"增加全地图友军的法力回复。对自己的回复量为双倍"
		"DOTA_Tooltip_ability_ability_thdots_sanae03_mana_regen"	"法力固定回复："
		"DOTA_Tooltip_ability_ability_thdots_sanae03_mana_regen_pct"	"法力回复最大百分比："
		"DOTA_Tooltip_ability_ability_thdots_sanae04"	"神德「五谷丰登」"
		"DOTA_Tooltip_ability_ability_thdots_sanae04_Description"	"早苗教你画星星，让范围内的队友进入无敌状态。"
		"DOTA_Tooltip_ability_ability_thdots_sanae04_radius"	"无敌范围："
		"DOTA_Tooltip_ability_ability_thdots_sanae04_ability_duration"	"技能持续时间："
		"DOTA_Tooltip_ability_ability_thdots_sanae04_movespeed_slow"	"%自身减速："
		// --------------------
		// momiji
		// --------------------
		"DOTA_Tooltip_ability_ability_thdots_momiji01"	"白狼「天狗卫队」"
		"DOTA_Tooltip_ability_ability_thdots_momiji01_Description"	"召唤两只白狼天狗巡逻队的同伴，攻击时有15%机率造成2.00倍伤害。当天狗同伴在犬走附近的情况下，会得到惊人的恢复力。\n白狼天狗：\n基础血量：400[+等级x200]\n基础装甲：2.00[+等级x1]\n基础伤害：20-20[+等级x15]\n攻击范围：100\n攻击间隔：1.3\n移动速度：340\n 万宝槌效果：额外+1白狼召唤数，白狼天狗增加50%%基础移速"
		"DOTA_Tooltip_ability_ability_thdots_momiji01_regen_amount"	"生命回复速度："
		"DOTA_Tooltip_ability_ability_thdots_momiji01_aura_distance"	"生命回复范围："
		"DOTA_Tooltip_ability_ability_thdots_momiji02"	"监控「天狗视觉」"
		"DOTA_Tooltip_ability_ability_thdots_momiji02_Description"	"用极强的视力，听力与嗅觉，捕捉敌人的信息。监视目标位置，所有单位（包括隐行单位），都将在犬走的控制中。（一半范围内有真视效果）\n持续时间：%duration%"
		"DOTA_Tooltip_ability_ability_thdots_momiji02_radius"	"范围："
		"DOTA_Tooltip_ability_ability_thdots_momiji03"	"天狗「守护之盾」"
		"DOTA_Tooltip_ability_ability_thdots_momiji03_Description"	"盾击目标，使其眩晕，以等待同伴支援。"
		"DOTA_Tooltip_ability_ability_thdots_momiji03_ability_duration"	"眩晕时间："
		"DOTA_Tooltip_ability_ability_thdots_momiji04"	"哨戒「妖怪山的巡山人」"
		"DOTA_Tooltip_ability_ability_thdots_momiji04_Description"	"为了保护安全，加快附近犬类同伴的巡逻速度和战斗能力，并对周围1000范围的友方增加移速。"
		"DOTA_Tooltip_ability_ability_thdots_momiji04_move_speed"	"%移动速度增加："
		"DOTA_Tooltip_ability_ability_thdots_momiji04_attack_speed"	"攻击速度增加："
		"DOTA_Tooltip_ability_ability_thdots_momiji04_aura_move_speed"	"%光环移动速度增加："	
		"DOTA_Tooltip_ability_ability_system_criticalstrike_2"	"40%暴击几率"
		"DOTA_Tooltip_ability_ability_system_criticalstrike"	"15%暴击几率"
		// --------------------
		// wriggle
		// --------------------
		"DOTA_Tooltip_ability_ability_thdots_wriggle01"	"灯符「萤光现象」"
		"DOTA_Tooltip_ability_ability_thdots_wriggle01_Description"	"召唤萤火虫点亮周围的视野，并具有一定的真视范围。"
		"DOTA_Tooltip_ability_ability_thdots_wriggle01_vision"	"视野范围："
		"DOTA_Tooltip_ability_ability_thdots_wriggle01_radius"	"真视范围："
		"DOTA_Tooltip_ability_ability_thdots_wriggle01_duration"	"持续时间"
		"DOTA_Tooltip_ability_death_prophet_exorcism"	"蠢符「夜虫龙卷」"
		"DOTA_Tooltip_ability_death_prophet_exorcism_Description"	"召唤出虫群，对周围的敌人进行撕咬，回归的时候按照伤害量回复自身生命。"
		"DOTA_Tooltip_ability_death_prophet_exorcism_scepter_spirit_scepter_movespeed_slow"	""
		"DOTA_Tooltip_ability_death_prophet_exorcism_scepter_spirit_scepter_movespeed_debuff_duration"	""
		"DOTA_Tooltip_ability_death_prophet_exorcism_scepter_scepter_spirit_life_duration"	""
		"DOTA_Tooltip_ability_death_prophet_exorcism_scepter_spirit_bonus_damage"	""
		"DOTA_Tooltip_ability_ability_thdots_wriggle03"	"「不合时令的蝶雨」"
		"DOTA_Tooltip_ability_ability_thdots_wriggle03_Description"	"每隔一段时间莉格露的攻击会附带一次额外攻击，对目标造成额外伤害和沉默效果。"
		"DOTA_Tooltip_ability_ability_thdots_wriggle03_Note0"	"额外攻击附带攻击特效"
		"DOTA_Tooltip_ability_ability_thdots_wriggle03_silence_duration"	"沉默时间："
		"DOTA_Tooltip_ability_ability_thdots_wriggle03_base_damage"	"附加伤害"
		"DOTA_Tooltip_ability_ability_thdots_wriggle03_attack_interval"	"间隔："
		"DOTA_Tooltip_ability_ability_thdots_wriggle04"	"隐虫「永夜蛰居」"
		"DOTA_Tooltip_ability_ability_thdots_wriggle04_Description"	"使莉格露永久隐身，攻击的时候显形。\n万宝槌效果：周围900范围内没有敌方少女获得40%%移速和3%%生命魔法恢复加成，存在敌方少女则获得30攻击/攻速加成"
		"DOTA_Tooltip_ability_ability_thdots_wriggle04_invisible_interval"	"隐身间隔："
		"DOTA_Tooltip_ability_special_bonus_unique_wriggle_1"		"-3秒「不合时令的蝶雨」冷却"
		"DOTA_Tooltip_ability_special_bonus_unique_wriggle_2"		"+40% 技能增强"
		"DOTA_Tooltip_ability_special_bonus_unique_wriggle_3"		"「萤光现象」1800真视范围"
		// --------------------
		// koishi
		// --------------------
		"DOTA_Tooltip_ability_phantom_assassin_blur"	"「空想上的人格保持者」"
		"DOTA_Tooltip_ability_phantom_assassin_blur_Description"	"没人能注意到她的存在，直到她出现在了你的身边。"
		"DOTA_Tooltip_ability_ability_thdots_koishiex_Lore"	"没人注意到她的存在。"
		"DOTA_Tooltip_ability_ability_thdots_koishi01"	"「恋之埋火」"
		"DOTA_Tooltip_ability_ability_thdots_koishi01_Description"	"<h1>被动：</h1>身边%radius%范围内有越多少女，攻击越高。\n<h1>主动：</h1>放弃被动效果%duration%秒，身边%radius%范围内少女越少，攻击越高。\n提高[12 - 少女数量] * 附加攻击力"
		"DOTA_Tooltip_ability_ability_thdots_koishi01_bonus_damage"	"每个少女附加攻击："
		"DOTA_Tooltip_ability_ability_thdots_koishi01_radius"	"范围："
		"DOTA_Tooltip_modifier_ability_thdots_koishi01"	"「恋之埋火」"
		"DOTA_Tooltip_modifier_ability_thdots_koishi01_Description"	"身边有越多少女，攻击越高。"
		"DOTA_Tooltip_modifier_ability_thdots_koishi01_open"	"「恋之埋火」"
		"DOTA_Tooltip_modifier_ability_thdots_koishi01_open_Description"	"身边少女越少，攻击越高。"
		"DOTA_Tooltip_ability_ability_thdots_koishi02"	"「无意识的基因」"
		"DOTA_Tooltip_ability_ability_thdots_koishi02_Description"	"被恋攻击到的单位，都会额外扣减造成[基础伤害+造成伤害的百分比]的法力值，并造成等量伤害。\n万宝槌效果：获得新技能「空想上的人格保持者」,击杀少女后会刷新该技能"
		"DOTA_Tooltip_ability_ability_thdots_koishi02_damage_percent"	"%伤害："
		"DOTA_Tooltip_ability_ability_thdots_koishi02_base_damage"	"基础伤害"
		"DOTA_Tooltip_ability_ability_thdots_koishi03"	"「被厌恶者的哲学」"
		"DOTA_Tooltip_ability_ability_thdots_koishi03_Description"	"给予恋额外的暴击和闪避。"
		"DOTA_Tooltip_ability_ability_thdots_koishi03_damage_multi"	"%暴击倍数："
		"DOTA_Tooltip_ability_ability_thdots_koishi03_criticalstrike_chance"	"%暴击概率："
		"DOTA_Tooltip_ability_ability_thdots_koishi03_evasion_chance"	"%闪避概率："
		"DOTA_Tooltip_ability_ability_thdots_koishi04"	"「Subterranean Rose」"
		"DOTA_Tooltip_ability_ability_thdots_koishi04_Description"	"恋会进入彻底封闭的意识而无法控制的暴走状态，极大提高战斗能力，并提高移动速度。"
		"DOTA_Tooltip_ability_ability_thdots_koishi04_attribute_bonus"	"属性提高："
		"DOTA_Tooltip_ability_ability_thdots_koishi04_move_speed_bonus"	"%移速提升："
		"DOTA_Tooltip_ability_ability_thdots_koishi04_duration"	"持续时间："
		// --------------------
		// yumemi
		// --------------------
		"DOTA_Tooltip_ability_ability_thdots_yumemiEx"	"「大统一定理」"
		"DOTA_Tooltip_ability_ability_thdots_yumemiEx_Description"	"教授能将一切的能量互相转化，场上每存在一个十字架，就能给教授增加20点攻击，并帮教授抵挡一次伤害。(自带的一层十字架不抵挡伤害)"
		"DOTA_Tooltip_ability_ability_thdots_yumemi01"	"信仰「血红的十字架」"
		"DOTA_Tooltip_ability_ability_thdots_yumemi01_Description"	"梦美掷出手中的十字架，对直线距离范围内的单位造成伤害，十字架会在技能释放的最大距离停止立起。\n智力加成伤害系数：0.3"
		"DOTA_Tooltip_ability_ability_thdots_yumemi02"	"「可能性空间船」"
		"DOTA_Tooltip_ability_ability_thdots_yumemi02_Description"	"梦美驾驶一架空间船飞向目标地点，飞行过程中会不断消耗梦美的魔法值。"
		"DOTA_Tooltip_ability_ability_thdots_yumemi02_move_speed"	"飞行速度："
		"DOTA_Tooltip_ability_ability_thdots_yumemi02_mana_cost"	"每秒魔法消耗："
		"DOTA_Tooltip_ability_ability_thdots_yumemi02_mana_cost_percent"	"每秒魔法消耗百分比："
		"DOTA_Tooltip_ability_ability_thdots_yumemi03"	"Bug「自我分裂」"
		"DOTA_Tooltip_ability_ability_thdots_yumemi03_Description"	"梦美分裂出一个自我，自我会在1秒后爆炸，对周围造成伤害并减速，并立起一个十字架。\n万宝槌效果：施放技能时对700范围内的8个单位进行自动攻击"
		"DOTA_Tooltip_ability_ability_thdots_yumemi04"	"毁灭「四次元核弹」"
		"DOTA_Tooltip_ability_ability_thdots_yumemi04_Description"	"梦美疯狂的使用自己最后武器，在4秒内，梦美将会停止一切动作用于释放核弹，并且无视任何控制效果，释放结束后会对自身1000范围内的敌人造成巨大伤害并眩晕2秒。"
		// --------------------
		// cirno
		// --------------------
		"DOTA_Tooltip_ability_ability_thdots_cirno01"	"「Perfect Freeze」"
		"DOTA_Tooltip_ability_ability_thdots_cirno01_Description"	"对周围造成一次冰霜爆破，对琪露诺周围的敌人造成伤害，并降低移动速度和攻击速度，持续3秒，冰霜爆破过的地面会变成冰冻的地面。"
		"DOTA_Tooltip_ability_ability_thdots_cirno01_radius"	"伤害范围："
		"DOTA_Tooltip_ability_ability_thdots_cirno01_slow_movement_pct"	"移动速度减少："
		"DOTA_Tooltip_ability_ability_thdots_cirno01_slow_attackspeed"	"攻击速度减少："
		"DOTA_Tooltip_ability_ability_thdots_cirno01_slow_duration"	"减速持续时间："
		"DOTA_Tooltip_ability_ability_thdots_cirno01_icebound_duration"	"冰面持续时间："
		"DOTA_Tooltip_ability_ability_thdots_cirno02"	"碎冰[Ice Crusher] "
		"DOTA_Tooltip_ability_ability_thdots_cirno02_Description"	"琪露诺会摔倒，对自己造成1秒眩晕，如果摔倒在冰面上，会引爆冰面对冰面上的敌人造成伤害，冰面的破碎可以传递到覆盖的其他冰面上，如果没有传递则再造成1秒的眩晕，并且自己会快速爬起（不会眩晕）。"
		"DOTA_Tooltip_ability_ability_thdots_cirno02_radius"	"触发范围："
		"DOTA_Tooltip_ability_ability_thdots_cirno03"	"冰符「Icicle Fall」"
		"DOTA_Tooltip_ability_ability_thdots_cirno03_Description"	"向前方放出一阵冰瀑（800码长度），对冰瀑攻击到的敌人造成伤害，并减速，持续3秒，冰瀑经过的地域会变成冰冻的冰面。"
		"DOTA_Tooltip_ability_ability_thdots_cirno03_slow_movement_pct"	"移动速度减少："
		"DOTA_Tooltip_ability_ability_thdots_cirno04"	"雪符「Diamond Blizzard」"
		"DOTA_Tooltip_ability_ability_thdots_cirno04_Description"	"琪露诺快速的旋转，造成一次巨大的风暴，范围300码，持续7秒，风暴进行的时候会造成每秒50/75/100的伤害，在风暴中的 所有单位，每秒会被降低20%的移动速度。\n当被减速5次时，单位会被冻结，持续到「Diamond Blizzard」结束，被冻结的单位无敌，如果被冻结单位所在冰面破碎，被冰冻的敌人额外收到200/300/400的伤害并解除冰冻状态。\n风暴持续时间内可以移动，移动过的路径会变成冰冻的地面，持续时间结束后，笨蛋会摔倒在地，使得范围500码的冰面瞬间破碎。\n万宝槌效果：每次攻击会让敌方少女降低9点智力，并根据（敌方智力-自身智力）造成魔法伤害。降低智力的debuff持续59秒，可叠加。当敌方智力低于自身智力时，会造成1.9s的眩晕，然后清除所有削减智力的debuff。"
		// --------------------
		// kanako
		// --------------------
		"DOTA_Tooltip_ability_ability_thdots_yasakaEx"	"「风神之神德」"
		"DOTA_Tooltip_ability_ability_thdots_yasakaEx_Description"	" 神奈子使其周围的友方少女每0.75秒获得0.7点的护甲与2.5点攻击速度，这个效果最多叠加10次，脱离效果的友方少女会缓慢失去这个效果。"
		"DOTA_Tooltip_ability_ability_thdots_yasakaEx_radius"	"作用范围:"
		"DOTA_Tooltip_ability_ability_thdots_yasakaEx_Lore"	"神奈子并不介意用自己的神力来帮助他人，只要她们为其提供信仰。"
		"DOTA_Tooltip_ability_ability_thdots_yasaka01"	"神祭「扩散御柱」"
		"DOTA_Tooltip_ability_ability_thdots_yasaka01_Description"	"神奈子向目标地点砸下一根御柱，对目标200范围内造成伤害和眩晕。\n施法距离：%AbilityCastRange%"
		"DOTA_Tooltip_ability_ability_thdots_yasaka01_stun_duration"	"眩晕时间:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka01_Lore"	"说起操控庞大且沉重的御柱，幻想乡没有人比神奈子更加得心应手。"
		"DOTA_Tooltip_ability_ability_thdots_yasaka02"	"神秘「大和环面」"
		"DOTA_Tooltip_ability_ability_thdots_yasaka02_Description"	"在神奈子周围制造一个跟随神奈子移动的神秘环面，环面内部的敌方少女会持续受到伤害，且在任何少女从环面的一方经过时会从通侧环面直径指向的另一头出现。"
		"DOTA_Tooltip_ability_ability_thdots_yasaka02_radius"	"环面范围:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka02_duration"	"持续时间:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka02_Lore"	"最基础的结界并是最基础的境界，连神社的巫女都能熟练掌握并且运用，更何况神社所供奉的神。"
		"DOTA_Tooltip_ability_ability_thdots_yasaka03"	"神谷「神灵之谷」"
		"DOTA_Tooltip_ability_ability_thdots_yasaka03_Description"	"降下一颗被神力所凭依的稻米，其可对友方进行治疗和增益，亦可对敌方造成减益效果。\n万宝槌效果：降低6s冷却时间，可作用于友方建筑"
		"DOTA_Tooltip_ability_ability_thdots_yasaka03_heal_amt"	"治疗量:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka03_buff_physical_armor"	"护甲增加:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka03_buff_magic_armor"	"魔抗增加:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka03_buff_duration"	"正面状态持续时间:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka03_debuff_physical_armor"	"敌方护甲减少:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka03_debuff_magic_armor"	"敌方魔抗减少:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka03_debuff_duration"	"负面状态持续时间:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka03_Lore"	"诹访大社用筒粥神事来占卜吉凶，而神奈子却直接跳过了占卜的过程。"
		"DOTA_Tooltip_ability_ability_thdots_yasaka04"	"「神圣庄严的古战场」"
		"DOTA_Tooltip_ability_ability_thdots_yasaka04_Description"	"神奈子经过2.4秒的准备时间后变成不可被移动的单位，自己可以享受被动光环且最高获得层数加倍。同时各项属性获得大幅提升，其他三个技能会被全新的技能替换。"
		"DOTA_Tooltip_ability_ability_thdots_yasaka04_damage_bonus"	"攻击力增加:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka04_attack_range_bonus"	"攻击距离增加:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka04_attack_speed_down"	"攻击速度下降:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka04_damage_reduction"	"伤害减免:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka04_regen_radius"	"回复范围:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka04_health_regen_pct"	"生命回复百分比:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka04_mana_regen_pct"	"魔法回复百分比:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka04_Lore"	"诹访大战时神奈子凭借一己之力便攻破整个诹访军团，虽然现在没有当时那么强大的信仰，但她仍然能在自己一定区域内重现当时的神力。"
		"DOTA_Tooltip_ability_ability_thdots_yasaka41"	"奇祭「目处梃子乱舞」"
		"DOTA_Tooltip_ability_ability_thdots_yasaka41_Description"	"神奈子在其周围大范围的空间内持续的降落大量的御柱对御柱周围的敌方单位造成伤害和眩晕。"
		"DOTA_Tooltip_ability_ability_thdots_yasaka41_radius"	"影响范围:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka41_duration"	"持续时间:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka41_rate"	"掉落频率:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka41_stun_duration"	"眩晕时间:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka41_damage_radius"	"伤害范围:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka41_Lore"	"真正的激怒神奈子是一件很可怕的事，她会令周围所有的一切被御柱砸成废墟。"
		"DOTA_Tooltip_ability_ability_thdots_yasaka42"	"「神明的威光」"
		"DOTA_Tooltip_ability_ability_thdots_yasaka42_Description"	"神奈子使一片区域的敌方单位的状态大幅度的下降。"
		"DOTA_Tooltip_ability_ability_thdots_yasaka42_effect_radius"	"影响范围:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka42_duration"	"持续时间:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka42_slow_movement_pct"	"减速百分比:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka42_attack_miss_pct"	"攻击MISS百分比:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka42_Lore"	"在神奈子所习得的结界里，有一种能使胆敢挑战神的无知之徒们感受到强大威压的神光结界。"
		"DOTA_Tooltip_ability_ability_thdots_yasaka43"	"天龙「雨之源泉」"
		"DOTA_Tooltip_ability_ability_thdots_yasaka43_Description"	"神奈子对周围的友方单位进行持续的治疗并且选择一名友方少女清除她几乎所有的负面效果。\n万宝槌效果：持续施法时可使6000范围内友方建筑获得治疗效果,并增加建筑1点护甲和75攻速"
		"DOTA_Tooltip_ability_ability_thdots_yasaka43_regen_radius"	"治疗范围:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka43_health_regen"	"治疗量:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka43_mana_spend"	"每秒魔法消耗:"
		"DOTA_Tooltip_ability_ability_thdots_yasaka43_Lore"	"神奈子用自己的神德来报答信仰她的少女们，这些回报在战斗的时候甚至可以挽救战局。"
		// --------------------
		// yukari
		// --------------------
		"DOTA_Tooltip_ability_ability_thdots_yukariEx"	"外力「轨道变异」"
		"DOTA_Tooltip_ability_ability_thdots_yukariEx_Description"	"将在间隙内的单位一下子放出来。紫每增加5级，可投掷数量增加2个"
		"DOTA_Tooltip_ability_ability_thdots_yukariEx_radius"	"影响范围:"
		"DOTA_Tooltip_ability_ability_thdots_yukariEx_falldown_num"	"最大数量:"
		"DOTA_Tooltip_ability_ability_thdots_yukari01"	"外力「轨道牵引」"
		"DOTA_Tooltip_ability_ability_thdots_yukari01_Description"	"从高空中放出一个间隙单位，落地时可以震晕敌方地面单位并造成伤害及晕眩。"
		"DOTA_Tooltip_ability_ability_thdots_yukari01_stun_duration"	"眩晕时间:"
		"DOTA_Tooltip_ability_ability_thdots_yukari01_radius"	"影响范围:"
		"DOTA_Tooltip_ability_ability_thdots_yukari02"	"魍魉「八云紫的神隐」"
		"DOTA_Tooltip_ability_ability_thdots_yukari02_Description"	"将一个单位拉到隙间，使目标在技能持续时间内完全脱离与现实世界的联系。如果该单位是普通单位，则会永久无法回来。间隙中最多可以容纳36个单位"
		"DOTA_Tooltip_ability_ability_thdots_yukari02_hero_hidden_duration"	"少女隙间时间:"
		"DOTA_Tooltip_ability_ability_thdots_yukari03"	"魍魉「栖息于禅寺的妖蝶」"
		"DOTA_Tooltip_ability_ability_thdots_yukari03_Description"	"将自己传送至地图上任意已探索的地区。需要2.5秒的施法时间。同时每过一段时间会在间隙中存放多一只生物。\n万宝槌效果：传送完成后产生空间震，对375范围内的敌方单位造成4倍智力的魔法伤害"
		"DOTA_Tooltip_ability_ability_thdots_yukari04"	"「深弹幕结界 - 梦幻泡影 - 」 "
		"DOTA_Tooltip_ability_ability_thdots_yukari04_Description"	"展开大型的传送结界，结界范围内的己方队友和其他队友玩家的单位会一起被传送至目标地点，结界范围内的敌方普通单位则会被拉入间隙。引导时间越长，传送结界的范围就越大。最大引导时间2秒，结界的最大范围为750.无论引导多久，只要引导一结束，传送就会进行。引导期间，目标地点会散射出大量的弹幕，对周围的敌方单位造成伤害。\n万宝槌效果：传送完成后产生空间震，对750范围内的敌方单位造成4倍智力的魔法伤害"
		"DOTA_Tooltip_ability_ability_thdots_yukari04_min_radius"	"传送最小范围:"
		"DOTA_Tooltip_ability_ability_thdots_yukari04_max_radius"	"传送最大范围:"		
		"DOTA_Tooltip_ability_ability_thdots_yukari04_ex_damage"	"弹幕持续伤害:"
		"DOTA_Tooltip_modifier_yukari_wanbaochui_buff"  "四重结界"
		"DOTA_Tooltip_modifier_yukari_wanbaochui_buff_Description"  "获得12护甲、30%%魔抗、20%%技能增强、75攻速加成"
